GEOID,unemployment_2019,unemployment_2020,delta_unemployment,state_name,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
05083,0.043438158392962896,0.07448585342294843,0.031047695029985535,Arkansas,Logan County,6441,1544,8225,4897,0.7831003039513678,0.18772036474164133,0.5953799392097264
05085,0.03216049785669212,0.0599875663046857,0.027827068447993576,Arkansas,Lonoke County,22884,6686,30662,16198,0.7463309634074751,0.21805492140108276,0.5282760420063923
05087,0.0254494041607756,0.042077939820349054,0.016628535659573455,Arkansas,Madison County,5658,1563,7351,4095,0.7696911984763978,0.21262413277105155,0.5570670657053463
05089,0.03994254668082183,0.06571890803938804,0.02577636135856621,Arkansas,Marion County,5783,1531,7503,4252,0.7707583633213382,0.20405171264827401,0.5667066506730641
05091,0.04096942693433921,0.07184143936765315,0.030872012433313938,Arkansas,Miller County,11920,4245,16529,7675,0.7211567547946034,0.25682134430395065,0.46433541049065274
05093,0.051355049329076544,0.09660579442132841,0.04525074509225187,Arkansas,Mississippi County,7296,4558,12342,2738,0.5911521633446767,0.3693080538000324,0.22184410954464429
05095,0.04310292785994567,0.07168414936236582,0.02858122150242015,Arkansas,Monroe County,1545,1147,2816,398,0.5486505681818182,0.4073153409090909,0.14133522727272735
05097,0.046386979093587764,0.07564463265365316,0.0292576535600654,Arkansas,Montgomery County,3046,731,3873,2315,0.7864704363542474,0.1887425768138394,0.597727859540408
05099,0.039484763660362764,0.06299709927949845,0.02351233561913569,Arkansas,Nevada County,2133,1076,3358,1057,0.6351995235259082,0.32042882668254913,0.3147706968433591
05101,0.03518152969690912,0.05291905899090493,0.017737529293995816,Arkansas,Newton County,3192,709,3998,2483,0.7983991995997999,0.17733866933466733,0.6210605302651325
05103,0.05161241137455211,0.06541325972605594,0.01380084835150383,Arkansas,Ouachita County,5294,3995,9629,1299,0.5497974867587496,0.41489251220272094,0.13490497455602868
05105,0.040875599391836576,0.060232619721752596,0.01935702032991602,Arkansas,Perry County,3479,1012,4627,2467,0.7518910741301059,0.21871623081910524,0.5331748433110006
05107,0.06001463134242566,0.09936538410260513,0.03935075276017947,Arkansas,Phillips County,2417,3623,6242,-1206,0.38721563601409803,0.5804229413649471,-0.19320730535084907
05109,0.03847134257534462,0.06418248233145399,0.02571113975610937,Arkansas,Pike County,3519,644,4246,2875,0.8287800282618936,0.15167216203485634,0.6771078662270372
05111,0.03403323875152006,0.05688806391735938,0.022854825165839317,Arkansas,Poinsett County,5918,1424,7521,4494,0.7868634490094403,0.18933652439835127,0.597526924611089
05113,0.04177398335607934,0.07120116076368228,0.029427177407602943,Arkansas,Polk County,7035,1246,8490,5789,0.8286219081272085,0.14676089517078916,0.6818610129564193
05115,0.04333305429909968,0.061230816020962,0.017897761721862325,Arkansas,Pope County,18081,5772,24432,12309,0.7400540275049116,0.2362475442043222,0.5038064833005893
05117,0.043461082576056895,0.05867425589944266,0.015213173323385766,Arkansas,Prairie County,2786,654,3495,2132,0.7971387696709585,0.1871244635193133,0.6100143061516452
05119,0.03401707687044645,0.07988059754730063,0.04586352067685418,Arkansas,Pulaski County,63687,101947,169956,-38260,0.3747263997740592,0.5998434889030102,-0.225117089128951
05121,0.03884437139008744,0.06421205651206105,0.025367685121973613,Arkansas,Randolph County,5355,1215,6812,4140,0.7861127422196125,0.1783617146212566,0.6077510275983559
05123,0.05183754384181365,0.08382586132333861,0.031988317481524954,Arkansas,St. Francis County,3242,3604,7108,-362,0.45610579628587505,0.5070343275182893,-0.0509285312324142
05125,0.02815451999024488,0.055110499260409194,0.026955979270164316,Arkansas,Saline County,39556,16060,56959,23496,0.6944644393335557,0.28195719728225566,0.41250724205130007
05127,0.03406039295995054,0.0488709331147413,0.01481054015479076,Arkansas,Scott County,2962,483,3551,2479,0.8341312306392565,0.13601802309208674,0.6981132075471698
